city,house_type,Price_2023,Price_2025,Difference,% Change
Agege,duplex,1500000.0,550000.0,-950000.0,-0.6333333333333333
Agege,flat & apartment,500000.0,2500000.0,2000000.0,4.0
Ajah,bungalow,1500000.0,3500000.0,2000000.0,1.3333333333333333
Ajah,duplex,2500000.0,6500000.0,4000000.0,1.6
Ajah,flat & apartment,850000.0,2300000.0,1450000.0,1.7058823529411764
Ajah,maisonette,2000000.0,5750000.0,3750000.0,1.875
Ajah,penthouse,2000000.0,3000000.0,1000000.0,0.5
Ajah,self-contain,350000.0,900000.0,550000.0,1.5714285714285714
Alimosho,flat & apartment,450000.0,2000000.0,1550000.0,3.4444444444444446
Amuwo Odofin,bungalow,775000.0,2000000.0,1225000.0,1.5806451612903225
Amuwo Odofin,duplex,2000000.0,6500000.0,4500000.0,2.25
Amuwo Odofin,flat & apartment,900000.0,2750000.0,1850000.0,2.0555555555555554
Apapa,flat & apartment,1550000.0,2050000.0,500000.0,0.3225806451612903
Bariga,flat & apartment,800000.0,1650000.0,850000.0,1.0625
Bariga,self-contain,350000.0,1000000.0,650000.0,1.8571428571428572
Egba,duplex,1300000.0,4250000.0,2950000.0,2.269230769230769
Egba,flat & apartment,350000.0,1300000.0,950000.0,2.7142857142857144
Egba,self-contain,170000.0,425000.0,255000.0,1.5
Ejigbo,flat & apartment,350000.0,1500000.0,1150000.0,3.2857142857142856
Gbagada,duplex,2700000.0,8000000.0,5300000.0,1.962962962962963
Gbagada,flat & apartment,1000000.0,3300000.0,2300000.0,2.3
Gbagada,self-contain,350000.0,1100000.0,750000.0,2.142857142857143
Idimu,flat & apartment,500000.0,1850000.0,1350000.0,2.7
Igando,flat & apartment,300000.0,1200000.0,900000.0,3.0
Igando,self-contain,150000.0,600000.0,450000.0,3.0
Iju,flat & apartment,500000.0,1400000.0,900000.0,1.8
Iju,self-contain,250000.0,400000.0,150000.0,0.6
Ikeja,bungalow,3500000.0,12000000.0,8500000.0,2.4285714285714284
Ikeja,duplex,4500000.0,18000000.0,13500000.0,3.0
Ikeja,flat & apartment,1500000.0,5000000.0,3500000.0,2.3333333333333335
Ikeja,self-contain,400000.0,1150000.0,750000.0,1.875
Ikorodu,bungalow,350000.0,3000000.0,2650000.0,7.571428571428571
Ikorodu,duplex,800000.0,2850000.0,2050000.0,2.5625
Ikorodu,flat & apartment,200000.0,1300000.0,1100000.0,5.5
Ikorodu,self-contain,100000.0,425000.0,325000.0,3.25
Ikosi,bungalow,1100000.0,4000000.0,2900000.0,2.6363636363636362
Ikosi,duplex,3000000.0,14000000.0,11000000.0,3.6666666666666665
Ikosi,flat & apartment,800000.0,3000000.0,2200000.0,2.75
Ikosi,self-contain,250000.0,1000000.0,750000.0,3.0
Ikoyi,bungalow,15500000.0,17000000.0,1500000.0,0.0967741935483871
Ikoyi,duplex,25000000.0,35000000.0,10000000.0,0.4
Ikoyi,flat & apartment,12000000.0,35000000.0,23000000.0,1.9166666666666667
Ikoyi,maisonette,300000000.0,40000000.0,-260000000.0,-0.8666666666666667
Ikoyi,mansion,15000000.0,35000000.0,20000000.0,1.3333333333333333
Ikoyi,penthouse,15000000.0,30000000.0,15000000.0,1.0
Ilupeju,duplex,3500000.0,10000000.0,6500000.0,1.8571428571428572
Ilupeju,flat & apartment,1000000.0,2500000.0,1500000.0,1.5
Ilupeju,self-contain,300000.0,800000.0,500000.0,1.6666666666666667
Isolo,bungalow,650000.0,2750000.0,2100000.0,3.230769230769231
Isolo,duplex,1500000.0,5000000.0,3500000.0,2.3333333333333335
Isolo,flat & apartment,700000.0,2000000.0,1300000.0,1.8571428571428572
Isolo,self-contain,250000.0,700000.0,450000.0,1.8
Iyana Ipaja,flat & apartment,400000.0,1000000.0,600000.0,1.5
Iyana Ipaja,self-contain,160000.0,400000.0,240000.0,1.5
Ketu,duplex,1650000.0,7000000.0,5350000.0,3.242424242424242
Ketu,flat & apartment,700000.0,2500000.0,1800000.0,2.5714285714285716
Lekki,bungalow,1750000.0,15500000.0,13750000.0,7.857142857142857
Lekki,duplex,4500000.0,11000000.0,6500000.0,1.4444444444444444
Lekki,flat & apartment,2400000.0,7000000.0,4600000.0,1.9166666666666667
Lekki,maisonette,5000000.0,14000000.0,9000000.0,1.8
Lekki,mansion,5000000.0,9250000.0,4250000.0,0.85
Lekki,penthouse,4000000.0,14000000.0,10000000.0,2.5
Lekki,self-contain,700000.0,1800000.0,1100000.0,1.5714285714285714
Maryland,bungalow,1500000.0,15000000.0,13500000.0,9.0
Maryland,duplex,3500000.0,12000000.0,8500000.0,2.4285714285714284
Maryland,flat & apartment,1500000.0,4000000.0,2500000.0,1.6666666666666667
Maryland,self-contain,350000.0,700000.0,350000.0,1.0
Mushin,self-contain,250000.0,1000000.0,750000.0,3.0
Ogba,bungalow,1000000.0,2500000.0,1500000.0,1.5
Ogba,duplex,2000000.0,6500000.0,4500000.0,2.25
Ogba,flat & apartment,650000.0,2000000.0,1350000.0,2.076923076923077
Ogba,self-contain,250000.0,800000.0,550000.0,2.2
Ogudu,duplex,3500000.0,15000000.0,11500000.0,3.2857142857142856
Ogudu,flat & apartment,1000000.0,2000000.0,1000000.0,1.0
Ogudu,self-contain,400000.0,900000.0,500000.0,1.25
Ojo,flat & apartment,350000.0,800000.0,450000.0,1.2857142857142858
Ojodu,bungalow,1200000.0,10000000.0,8800000.0,7.333333333333333
Ojodu,duplex,2500000.0,8000000.0,5500000.0,2.2
Ojodu,flat & apartment,800000.0,3500000.0,2700000.0,3.375
Ojodu,self-contain,350000.0,850000.0,500000.0,1.4285714285714286
Ojota,flat & apartment,800000.0,850000.0,50000.0,0.0625
Okota,duplex,1200000.0,5500000.0,4300000.0,3.5833333333333335
Okota,flat & apartment,750000.0,2500000.0,1750000.0,2.3333333333333335
Okota,self-contain,350000.0,800000.0,450000.0,1.2857142857142858
Orile,flat & apartment,275000.0,2500000.0,2225000.0,8.090909090909092
Oshodi,flat & apartment,600000.0,2000000.0,1400000.0,2.3333333333333335
Sangotedo,duplex,2000000.0,6750000.0,4750000.0,2.375
Sangotedo,flat & apartment,850000.0,3500000.0,2650000.0,3.1176470588235294
Sangotedo,self-contain,335000.0,875000.0,540000.0,1.6119402985074627
Shomolu,duplex,1800000.0,10000000.0,8200000.0,4.555555555555555
Shomolu,flat & apartment,700000.0,2000000.0,1300000.0,1.8571428571428572
Shomolu,self-contain,350000.0,1000000.0,650000.0,1.8571428571428572
Surulere,bungalow,1500000.0,13500000.0,12000000.0,8.0
Surulere,duplex,3000000.0,10000000.0,7000000.0,2.3333333333333335
Surulere,flat & apartment,800000.0,2650000.0,1850000.0,2.3125
Surulere,self-contain,300000.0,900000.0,600000.0,2.0
Victoria Island,duplex,7000000.0,30000000.0,23000000.0,3.2857142857142856
Victoria Island,flat & apartment,7000000.0,18000000.0,11000000.0,1.5714285714285714
Victoria Island,maisonette,6000000.0,20000000.0,14000000.0,2.3333333333333335
Victoria Island,penthouse,7500000.0,25500000.0,18000000.0,2.4
Victoria Island,self-contain,1000000.0,4500000.0,3500000.0,3.5
Yaba,duplex,3000000.0,7500000.0,4500000.0,1.5
Yaba,flat & apartment,850000.0,3000000.0,2150000.0,2.5294117647058822
Yaba,self-contain,350000.0,1000000.0,650000.0,1.8571428571428572
